time,L1_DG_8,L1_DG_16,L1_DG_32,L1_DG_64,L1_DG_128,L1_DG_256,L1_DG_512,L1_DG+limiter_8,L1_DG+limiter_16,L1_DG+limiter_32,L1_DG+limiter_64,L1_DG+limiter_128,L1_DG+limiter_256,L1_DG+limiter_512,L1_DFRG_8,L1_DFRG_16,L1_DFRG_32,L1_DFRG_64,L1_DFRG_128,L1_DFRG_256,L1_DFRG_512,L2_DG_8,L2_DG_16,L2_DG_32,L2_DG_64,L2_DG_128,L2_DG_256,L2_DG_512,L2_DG+limiter_8,L2_DG+limiter_16,L2_DG+limiter_32,L2_DG+limiter_64,L2_DG+limiter_128,L2_DG+limiter_256,L2_DG+limiter_512,L2_DFRG_8,L2_DFRG_16,L2_DFRG_32,L2_DFRG_64,L2_DFRG_128,L2_DFRG_256,L2_DFRG_512,KL_DG_8,KL_DG_16,KL_DG_32,KL_DG_64,KL_DG_128,KL_DG_256,KL_DG_512,KL_DG+limiter_8,KL_DG+limiter_16,KL_DG+limiter_32,KL_DG+limiter_64,KL_DG+limiter_128,KL_DG+limiter_256,KL_DG+limiter_512,KL_DFRG_8,KL_DFRG_16,KL_DFRG_32,KL_DFRG_64,KL_DFRG_128,KL_DFRG_256,KL_DFRG_512
0.09002685546875,0.10873493146264956,0.044211090629761356,0.0136878076119324,0.003606831449270323,0.0008463776995758125,0.0002539795191930186,0.0001208496093808769,0.10509623371824696,0.042533659456971275,0.013120507123757166,0.003606831449270323,0.0008463776995758125,0.0002539795191930186,0.0001208496093808769,0.10646658161873847,0.04296644788227992,0.01502003310987671,0.0039141663918677615,0.0008929087581687357,0.00026221902033886157,0.00012084960938098187,0.14997278400716113,0.08075447427223395,0.03212788874695491,0.010143170109885193,0.002739321500471817,0.0008551515736254228,0.00036195450283338875,0.14589261003031825,0.07787289425220534,0.031020209096512177,0.010143170109885193,0.002739321500471817,0.0008551515736254228,0.00036195450283338875,0.14734883175613772,0.07912193621619823,0.03408715629881606,0.010659106888629174,0.002742997034251624,0.0008499905986259982,0.00036152270520251365,0.19898723987876898,0.5204120992712704,0.6808478272330664,0.00963616508840155,0.0006049622923004145,0.00011409897166897598,2.3203779231720688e-5,0.18963905991843116,0.6312335990334987,0.5222934935895388,0.00963616508840155,0.0006049622923004145,0.00011409897166897598,2.3203779231720688e-5,0.021292715906563852,0.18289016814140172,0.006153627925660163,0.0019532400875623577,0.00047117343835466216,0.00010894560923474036,2.2963075871164078e-5
0.19000244140625,0.11586304123702604,0.049951858460495664,0.01858363514895717,0.0052545488612744,0.0011571740855295662,0.0002751385906807904,0.00012084960938553121,0.11046510577163854,0.047834923445072584,0.01739797804558948,0.0052545488612744,0.0011571740855295662,0.0002751385906807904,0.00012084960938553121,0.1159406935206285,0.05181665061696452,0.02088422403757899,0.006118710449997033,0.0012737580473517762,0.0002876953496913146,0.00012084960938574272,0.1572222008827305,0.08816157083540914,0.03914208939297254,0.01362781526136667,0.0036091129318838308,0.0009529560751947216,0.0003671831419839297,0.1524174801085188,0.08642245431869765,0.03765274027314342,0.01362781526136667,0.0036091129318838308,0.0009529560751947216,0.0003671831419839297,0.15720206874110387,0.09082702395384452,0.04395477523187455,0.015335381132573723,0.003765398073137133,0.0009507731255320767,0.0003665090656592439,0.3526847278694089,0.3521071506069481,0.5088539021158452,0.0588257706370286,0.0007073941182617752,0.0001162033006269176,2.3254041532768755e-5,0.5248721605915285,0.5248292715783927,0.5281847198537067,0.0588257706370286,0.0007073941182617752,0.0001162033006269176,2.3254041532768755e-5,0.010574915251690324,0.18211212028368917,0.00610336957342417,0.002108671686965967,0.00048355384672284024,0.00010925310918912934,2.296843036888062e-5
0.2900390625,0.1203224020170547,0.055514430028410375,0.022205027169527478,0.006706066701608615,0.0015057741561463965,0.0003087053193881457,0.00012085495923170187,0.11560906014750695,0.0530743362481834,0.020581275879484377,0.00667040775284808,0.0015057741561463965,0.0003087053193881457,0.00012085495923170187,0.12394541271625122,0.059369326306320636,0.025330957430578782,0.007783247498039729,0.00168163620839102,0.00032724143016356794,0.00012093271870106878,0.16453701378141472,0.0920402396131205,0.044195517860343835,0.01642726517333647,0.0044507350078911104,0.0010706949174666418,0.00037408689348769646,0.16031617630827802,0.08984079485763692,0.04243147169033769,0.01639423783726998,0.0044507350078911104,0.0010706949174666418,0.00037408689348769646,0.1668468505113471,0.09747749073585442,0.05079158395645914,0.019132529256636003,0.004808286396511562,0.0010790531497541238,0.00037343287409012,0.3530170968734979,0.36162016204303005,0.1836532910363237,0.19142589529861384,0.0008465854530107911,0.00011874616215803631,2.331095903414169e-5,0.5252516825580059,0.5311997930919328,0.37886643449406965,0.19235304493279018,0.0008465854530107911,0.00011874616215803631,2.331095903414169e-5,0.010022613246268287,0.009716065735383281,0.006187958128890202,0.0023285044937058847,0.0005074671576935129,0.00010989154657150069,2.297953968354433e-5
0.3900146484375,0.12385294665908157,0.06033487358431461,0.02436126134437542,0.00785534865690433,0.00182846577764144,0.00034951463958643887,0.00012089224308872644,0.11941203876203031,0.057266398687085995,0.02248513467470602,0.007736256784822867,0.00182846577764144,0.00034951463958643887,0.00012089224308872644,0.13042227008228185,0.06506534355366682,0.028412258688513957,0.009490170386407211,0.002091012679060297,0.00037776839659017634,0.00012149759219189371,0.16813076773315536,0.09837229093683343,0.04818913196662525,0.018800357150693774,0.005242728647701672,0.0011998500664274175,0.00038253200903746196,0.16457576976334867,0.09644505761611916,0.04625327326567915,0.0186582366865064,0.005242728647701672,0.0011998500664274175,0.00038253200903746196,0.17245427387140927,0.1054680743726247,0.0561651706968426,0.022335327361245227,0.005813936021453827,0.0012240998762800036,0.0003821588866477473,0.35520176339235554,0.5247625333842736,0.1916552061164065,0.22369311907167364,0.0010262261168364779,0.00012173375297030999,2.3374441649215876e-5,0.3576137123285621,0.5261361912832507,0.524574702828211,0.17377744808657752,0.0010262261168364779,0.00012173375297030999,2.3374441649215876e-5,0.010276326318512571,0.009773915559481384,0.006354776163516048,0.0025516255350751392,0.0005392885779666679,0.00011084073895676586,2.299633670971464e-5
0.49005126953125,0.12676417469679327,0.06224296761566133,0.026748906837737556,0.009089767396348371,0.002134717842639371,0.0003992779997826665,0.00012097927329589893,0.1221359987553201,0.059222673417626555,0.02444696529325837,0.008827565443646443,0.002134717842639371,0.0003992779997826665,0.00012097927329589893,0.13706010602972102,0.06897413393690698,0.03102098635756394,0.010763466013544986,0.0024886570168433523,0.0004359679176749188,0.0001226421663124436,0.1690689666952643,0.10102805118149502,0.051590677471876414,0.020859185313089487,0.005983488098030603,0.0013353344294765182,0.000392396576811918,0.1650517378316273,0.09903451378591181,0.04949742409351748,0.020533227439027534,0.005983488098030603,0.0013353344294765182,0.000392396576811918,0.17570043463197105,0.11007385786527532,0.06060589057192088,0.025092673696206238,0.006767974887558732,0.001379172078533037,0.00039255656606354024,0.18187974791876646,0.5228431903171302,0.6895125444343279,0.5029354481208168,0.001249292875191133,0.00012517883191734704,2.344455040300434e-5,0.18251551899920154,0.6019376832430428,0.5277273004402839,0.5231215717966181,0.001249292875191133,0.00012517883191734704,2.344455040300434e-5,0.010028404923753169,0.009642958623944606,0.006518361063296586,0.0027621062013197958,0.0005766004789964526,0.00011208429628877271,2.301878989771901e-5
0.59002685546875,0.13285968587991775,0.06675334636501301,0.029007220960424046,0.009899062122505105,0.0024423771949513965,0.00045055068715961933,0.00012112468360807325,0.1270690470197706,0.06336314251964602,0.026538131659817662,0.00950834684894777,0.0024423771949513965,0.00045055068715961933,0.00012112468360807325,0.14426416041262272,0.07396311498158441,0.03388573006349319,0.012059586222642603,0.002856376310933325,0.0004971719729688274,0.00012419768494569542,0.17128986175756933,0.10488156669820199,0.05465571283846874,0.022684443934591726,0.0066766274566648276,0.0014736483991677062,0.00040353503292370744,0.16711732768026996,0.1028210618949486,0.05243921942552906,0.02214262357034235,0.0066766274566648276,0.0014736483991677062,0.00040353503292370744,0.1802029227263573,0.11489190944217621,0.06445708015525281,0.027519705765493886,0.007668919410078663,0.0015396039485371454,0.0004044654014087908,0.18242191572112673,0.1884838068302965,0.5262071257544402,0.5097773431129543,0.0015187532664465815,0.0001290823784819215,2.3521186876437597e-5,0.18173384645590118,0.5310773308645836,0.408650171093707,0.6674071985820743,0.0015187532664465815,0.0001290823784819215,2.3521186876437597e-5,0.009467379907945862,0.009740933539605652,0.006662762266495752,0.0029552869280300466,0.0006176915235787979,0.0001136027855155207,2.304682124895613e-5
0.69000244140625,0.13457267109386173,0.06938738461595839,0.030979115712628572,0.01099908251403094,0.002732184757825365,0.0005046471193803958,0.00012166610514858676,0.12991256795203776,0.0657623449511434,0.0283472232665568,0.010401275071939688,0.002732184757825365,0.0005046471193803958,0.00012166610514858676,0.14818470986580956,0.07740763690126871,0.036381666165406834,0.013196700902007814,0.0032023627433987872,0.0005584257035855145,0.0001260784807522287,0.1745284692065903,0.10828366062119721,0.05732202482200989,0.024329243298392842,0.0073310970288766215,0.0016130437733433386,0.0004158224643266655,0.17085389568386236,0.10630310453074929,0.055039701566493,0.0235721326681375,0.0073310970288766215,0.0016130437733433386,0.0004158224643266655,0.18494634616676578,0.11912358741279423,0.06775665133748358,0.02969027818035706,0.008524974859590325,0.0017029416073044087,0.00041774317835171945,0.35313809710322863,0.695174292210234,0.2035734118600698,0.33975954478902215,0.0018401635973068892,0.0001334582011873866,2.3604382182153485e-5,0.18464184027316058,0.5358750844472302,0.5450133789366174,0.6160688704107272,0.0018401635973068892,0.0001334582011873866,2.3604382182153485e-5,0.008986939135990867,0.009868072335988213,0.006787347343110999,0.0031330414697036918,0.0006616273436147791,0.00011538257115907017,2.3080393460414246e-5
0.7900390625,0.1348208284772763,0.07038221279135692,0.03249927699741702,0.011748161242194459,0.003008701498125915,0.0005563928440312277,0.0001234127664175872,0.13190468897625623,0.06696128674740143,0.02961375584104933,0.011019923642561533,0.003008701498125915,0.0005563928440312277,0.0001234127664175872,0.15110842203209035,0.07917217905141588,0.03833049606296108,0.014192224630767313,0.0035274273018566144,0.000621813266391233,0.00012840588668183763,0.1776847590573655,0.11012585360728444,0.05964612166920334,0.02582055774308458,0.007948616716528755,0.0017523567571548135,0.0004291429224607672,0.17515406567427075,0.10812550457471584,0.057305084896758146,0.024850211332873757,0.007948616716528755,0.0017523567571548135,0.0004291429224607672,0.18941521406147543,0.12209272052513744,0.07064950993287585,0.031646425523001905,0.009336302037937281,0.0018675377865206915,0.0004322556758922592,0.2524215008626625,0.21379576230400177,0.3531596795537336,0.6769063405405477,0.0022182299259979154,0.00013831633869298862,2.369418627435482e-5,0.35543091316799963,0.5304949534230713,0.6927628753751673,0.7125002220180285,0.0022182299259979154,0.00013831633869298862,2.369418627435482e-5,0.009075302534736327,0.009815433076584033,0.006876052797273738,0.003295011892661948,0.0007073691212315855,0.00011740986797478848,2.3119483987939973e-5
0.8900146484375,0.13582751540336316,0.07488242171268777,0.03422796443785617,0.012505079698720074,0.003267520525917845,0.0006109249252788232,0.00012616585414003214,0.13358388755795025,0.07095442870937918,0.031032555288652678,0.011583161112318358,0.003267520525917845,0.0006109249252788232,0.00012616585414003214,0.1540729035172575,0.08374549761274064,0.04012031263028261,0.015165918325241822,0.0038692874059308353,0.0006827449651141193,0.00013183297129016198,0.1789444756075351,0.11343068667067041,0.06172491456927777,0.0272007017733262,0.008536381833049389,0.0018908730650159637,0.0004433639946989677,0.17694579426093635,0.1114832467802041,0.05928320829995401,0.02603530003293572,0.008536381833049389,0.0018908730650159637,0.0004433639946989677,0.19227834023612905,0.12568560801434028,0.07325800020925836,0.03344546637356925,0.01011100071318616,0.002032345940932278,0.00044784979125116116,0.18200726627781946,0.26318435071148066,0.3469033442647995,0.37212746957981624,0.0026617277562863205,0.00014366675855286454,2.3790485279356647e-5,0.1847607313307952,0.5403211374862087,0.8607069185711549,0.5399412784385716,0.0026617277562863205,0.00014366675855286454,2.3790485279356647e-5,0.00950084804464368,0.00988554648360267,0.0069587298865014385,0.0034448262054588914,0.0007545253875976694,0.00011967191801270314,2.3163998161713973e-5
0.99005126953125,0.13562897632273016,0.07547189739101866,0.03582698808440781,0.013343525612384303,0.003515441160759232,0.000662532892048818,0.00012959194025435436,0.13432007657277792,0.07169453478352414,0.03246321058381389,0.012305807962240357,0.003515441160759232,0.000662532892048818,0.00012959194025435436,0.15639756176570477,0.08499977278629622,0.04189191828217287,0.016153815520528483,0.004200584915261129,0.0007462229869766296,0.00013624923289353973,0.1785199738997153,0.11494835421797488,0.06364606027147765,0.028480166436146433,0.009096349960151854,0.0020283208501459074,0.0004583962514281633,0.17668103143392144,0.11302201008367933,0.061141605180559354,0.027142634476056606,0.009096349960151854,0.0020283208501459074,0.0004583962514281633,0.19399592294673398,0.12812731610933611,0.07562739121683837,0.0351042723774854,0.010850750921842126,0.0021968909568941654,0.000464419273396879,0.35414534019060984,0.3508678486657835,0.34695216078004326,0.36174153410199256,0.003176695659707045,0.00014952667690377335,2.3893394773865687e-5,0.1823626322695154,0.7072012605510702,0.5205470169111442,0.8488758107860501,0.003176695659707045,0.00014952667690377335,2.3893394773865687e-5,0.009530491987343282,0.00979450849243113,0.007053899162728962,0.0035830705826383766,0.0008025210889871543,0.00012216002703574762,2.3213944406171314e-5
